Rank,Name,Nationality,Age,Points,Year
1,ROBERTS Hannah,UNITED STATES OF AMERICA,20,2200,2021
2,DUCARROZ Nikita,SWITZERLAND,25,2060,2021
3,WORTHINGTON Charlotte,GREAT BRITAIN,25,1500,2021
4,BENEGAS Perris,UNITED STATES OF AMERICA,26,1480,2021
5,LIUBIMOVA Valeriia,RUSSIAN FEDERATION,17,1410,2021
6,KRUGLOVA Ekaterina,RUSSIAN FEDERATION,27,1370,2021
7,WOLFE Chelsea,UNITED STATES OF AMERICA,28,1290,2021
8,MARINO Angie,UNITED STATES OF AMERICA,31,1160,2021
9,POTTIER Magalie,FRANCE,32,1110,2021
10,POSADSKIKH Elizaveta,RUSSIAN FEDERATION,27,840,2021
11,NABATOVA Daria,RUSSIAN FEDERATION,25,790,2021
12,CHAAL Kenza,FRANCE,18,730,2021
13,JALŮVKOVÁ Kateřina,CZECH REPUBLIC,24,700,2021
14,MALYSHEVA Elena,RUSSIAN FEDERATION,22,700,2021
15,FERNANDEZ-MIRANDA AZCOAGA Teresa,SPAIN,27,660,2021
16,LESSMANN Lara Marie,GERMANY,21,550,2021
17,VALENZUELA MERAZ Margarita,MEXICO,25,520,2021
18,GRUHN Rebecca,GERMANY,29,450,2021
19,COFFEY Cory,UNITED STATES OF AMERICA,39,420,2021
20,FARFUTDINOVA Olga,RUSSIAN FEDERATION,24,420,2021
21,DIAZ DARMASE Katherine Seiran,BOLIVARIAN REPUBLIC OF VENEZUELA,32,400,2021
22,TORRES REYES Tania,MEXICO,31,390,2021
23,CALDERON ALANIS Mayra,MEXICO,20,310,2021
24,MÜLLER Kim Lea,GERMANY,19,300,2021
25,HERRERA TORRES Citlali,MEXICO,25,270,2021
26,TEREBOVA Anastasiia,RUSSIAN FEDERATION,21,220,2021
27,PEREZ Laury,FRANCE,18,200,2021
27,OIKE Minato,JAPAN,25,200,2021
27,SALAZAR ARAYA Melania,COSTA RICA,25,200,2021
27,MURADOVA Jana,NETHERLANDS,23,200,2021
27,DIEHM Natalya,AUSTRALIA,24,200,2021
27,IŽÁKOVÁ Angelika,SLOVAKIA,29,200,2021
33,SILVA CRUZ Shanice,NETHERLANDS,29,160,2021
33,PŘIKRYLOVÁ Nikol,CZECH REPUBLIC,21,160,2021
33,ČAJKOVÁ Lucia,SLOVAKIA,19,160,2021
33,ESQUIVEL HERRERA Elsy Lucia,COSTA RICA,27,160,2021
33,FUKAO Rina,JAPAN,20,160,2021
33,HILDEBRAND Sophie,AUSTRALIA,24,160,2021
39,BYKOVA Anna,RUSSIAN FEDERATION,20,140,2021
40,KNAPÍKOVÁ Tereza,CZECH REPUBLIC,20,130,2021
40,SZLÁVIKOVÁ Nikola,SLOVAKIA,16,130,2021
40,SATO Crea,JAPAN,24,130,2021
40,FARFAN  ROSALES Anielka,COSTA RICA,26,130,2021
44,VALENZA Carla,FRANCE,18,110,2021
44,OROSZOVÁ Lucia,SLOVAKIA,17,110,2021
44,CORDERO CORTES Jimena,COSTA RICA,18,110,2021
47,VASILEVA Alena,RUSSIAN FEDERATION,20,30,2021
48,KARAKULINA Oksana,RUSSIAN FEDERATION,17,20,2021
1,ROBERTS Hannah,UNITED STATES OF AMERICA,19,3900,2020
2,WORTHINGTON Charlotte,GREAT BRITAIN,24,3220,2020
3,PEREZ GRASSET Macarena,CHILE,24,2960,2020
4,DIEHM Natalya,AUSTRALIA,23,2660,2020
5,BENEGAS Perris,UNITED STATES OF AMERICA,25,2560,2020
6,LESSMANN Lara Marie,GERMANY,20,2520,2020
7,DUCARROZ Nikita,SWITZERLAND,24,2070,2020
8,FERNANDEZ-MIRANDA AZCOAGA Teresa,SPAIN,26,2050,2020
9,PEREZ Laury,FRANCE,17,2020,2020
10,WOLFE Chelsea,UNITED STATES OF AMERICA,27,1840,2020
11,OIKE Minato,JAPAN,24,1780,2020
12,OU Xianfen,PEOPLE'S REPUBLIC OF CHINA,20,1540,2020
13,POSADSKIKH Elizaveta,RUSSIAN FEDERATION,26,1300,2020
14,MARINO Angie,UNITED STATES OF AMERICA,30,1070,2020
15,WOHLRAB Jennifer,GERMANY,24,1010,2020
16,KRUGLOVA Ekaterina,RUSSIAN FEDERATION,26,1008,2020
17,GE Hui,PEOPLE'S REPUBLIC OF CHINA,23,985,2020
18,DIAZ DARMASE Katherine Seiran,BOLIVARIAN REPUBLIC OF VENEZUELA,31,980,2020
19,POTTIER Magalie,FRANCE,31,823,2020
20,GRUHN Rebecca,GERMANY,28,820,2020
21,ROTH Agustina,ARGENTINA,19,776,2020
22,GREGORY Jesse,UNITED STATES OF AMERICA,19,730,2020
23,LI Xinyue,PEOPLE'S REPUBLIC OF CHINA,19,710,2020
24,FINNEGAN Emma,GREAT BRITAIN,23,710,2020
25,COFFEY Cory,UNITED STATES OF AMERICA,38,597,2020
26,MALYSHEVA Elena,RUSSIAN FEDERATION,21,580,2020
27,CHAAL Kenza,FRANCE,17,520,2020
28,VALENZUELA MERAZ Margarita,MEXICO,24,520,2020
29,AZAROVA Arina,RUSSIAN FEDERATION,18,480,2020
30,MCHENRY Jamie,UNITED STATES OF AMERICA,18,480,2020
31,LIUBIMOVA Valeriia,RUSSIAN FEDERATION,16,450,2020
32,MURADOVA Jana,NETHERLANDS,22,430,2020
33,FARFUTDINOVA Olga,RUSSIAN FEDERATION,23,420,2020
34,BURRELL Isobel,GREAT BRITAIN,19,400,2020
35,TORRES REYES Tania,MEXICO,30,390,2020
36,LIANG Xiaolan,PEOPLE'S REPUBLIC OF CHINA,17,370,2020
37,ZHENG Qian,PEOPLE'S REPUBLIC OF CHINA,17,360,2020
38,NABATOVA Daria,RUSSIAN FEDERATION,24,360,2020
39,ZACARIAS Analia Gabriela,ARGENTINA,31,350,2020
40,CALDERON ALANIS Mayra,MEXICO,19,310,2020
41,IŽÁKOVÁ Angelika,SLOVAKIA,28,285,2020
42,PŘIKRYLOVÁ Nikol,CZECH REPUBLIC,20,280,2020
43,CERDAS ORDEÑANA Nicole,COSTA RICA,20,270,2020
44,JALŮVKOVÁ Kateřina,CZECH REPUBLIC,23,270,2020
45,WANG Shuyi,PEOPLE'S REPUBLIC OF CHINA,18,270,2020
46,HERRERA TORRES Citlali,MEXICO,24,270,2020
46,SILVA CRUZ Shanice,NETHERLANDS,28,270,2020
48,BUITRAGO Nina,UNITED STATES OF AMERICA,39,260,2020
49,ADELIETI Militi,PEOPLE'S REPUBLIC OF CHINA,23,254,2020
50,VALLEJO GARCIA Maria,SPAIN,19,242,2020
51,VARGAS Alexandra,BOLIVARIAN REPUBLIC OF VENEZUELA,23,220,2020
52,ASHWORTH Kayley,GREAT BRITAIN,30,220,2020
53,BORDIGNON Eduarda,BRAZIL,20,200,2020
53,SALAZAR ARAYA Melania,COSTA RICA,24,200,2020
55,CANOVI Sara,ITALY,24,199,2020
56,BYKOVA Anna,RUSSIAN FEDERATION,19,190,2020
57,HERNANDEZ Yeinkerly,BOLIVARIAN REPUBLIC OF VENEZUELA,20,180,2020
58,WARD Valeria,GREAT BRITAIN,33,180,2020
59,DIAS ROQUE Derlayne Flávia,BRAZIL,32,160,2020
59,ČAJKOVÁ Lucia,SLOVAKIA,18,160,2020
59,ESQUIVEL HERRERA Elsy Lucia,COSTA RICA,26,160,2020
59,FUKAO Rina,JAPAN,19,160,2020
63,DAI Yuting,PEOPLE'S REPUBLIC OF CHINA,18,155,2020
64,TEREBOVA Anastasiia,RUSSIAN FEDERATION,20,140,2020
65,DE OLIVEIRA NOGUEIRA Debora,BRAZIL,27,130,2020
65,ESQUER RUIZ-GALAN Maria Del Mar,SPAIN,28,130,2020
65,KNAPÍKOVÁ Tereza,CZECH REPUBLIC,19,130,2020
65,SZLÁVIKOVÁ Nikola,SLOVAKIA,15,130,2020
65,SATO Crea,JAPAN,23,130,2020
65,FARFAN  ROSALES Anielka,COSTA RICA,25,130,2020
71,PEREIRA FEITOSA Veronica Tainara,BRAZIL,23,110,2020
71,VALENZA Carla,FRANCE,17,110,2020
71,DAVILA LAGO Rebeca,SPAIN,21,110,2020
71,OROSZOVÁ Lucia,SLOVAKIA,16,110,2020
71,CORDERO CORTES Jimena,COSTA RICA,17,110,2020
76,ANDRADE DE SOUZA Camila,BRAZIL,30,90,2020
77,WANG Yanhua,PEOPLE'S REPUBLIC OF CHINA,18,70,2020
78,CORBERA COLLADO Gemma,SPAIN,28,65,2020
79,COLE Sivan,SPAIN,26,58,2020
80,HE Siting,PEOPLE'S REPUBLIC OF CHINA,19,50,2020
81,HUANG Liya,PEOPLE'S REPUBLIC OF CHINA,21,21,2020
1,ROBERTS Hannah,UNITED STATES OF AMERICA,18,6300,2019
2,LESSMANN Lara Marie,GERMANY,19,5000,2019
3,WORTHINGTON Charlotte,GREAT BRITAIN,23,4630,2019
4,BENEGAS Perris,UNITED STATES OF AMERICA,24,4610,2019
5,PEREZ GRASSET Macarena,CHILE,23,4030,2019
6,DUCARROZ Nikita,SWITZERLAND,23,4020,2019
7,DIEHM Natalya,AUSTRALIA,22,3570,2019
8,WOLFE Chelsea,UNITED STATES OF AMERICA,26,3530,2019
9,OIKE Minato,JAPAN,23,3390,2019
10,POSADSKIKH Elizaveta,RUSSIAN FEDERATION,25,2580,2019
11,MARINO Angie,UNITED STATES OF AMERICA,29,2520,2019
12,FERNANDEZ-MIRANDA AZCOAGA Teresa,SPAIN,25,2490,2019
13,PEREZ Laury,FRANCE,16,2292,2019
14,WOHLRAB Jennifer,GERMANY,23,2190,2019
15,DIAZ DARMASE Katherine Seiran,BOLIVARIAN REPUBLIC OF VENEZUELA,30,1890,2019
16,OU Xianfen,PEOPLE'S REPUBLIC OF CHINA,19,1663,2019
17,GRUHN Rebecca,GERMANY,27,1500,2019
18,FINNEGAN Emma,GREAT BRITAIN,22,1340,2019
19,ZACARIAS Analia Gabriela,ARGENTINA,30,1270,2019
20,POTTIER Magalie,FRANCE,30,1248,2019
21,GE Hui,PEOPLE'S REPUBLIC OF CHINA,22,1176,2019
22,KRUGLOVA Ekaterina,RUSSIAN FEDERATION,25,1108,2019
23,GREGORY Jesse,UNITED STATES OF AMERICA,18,1090,2019
24,CHEW Ellie Rayner,NEW ZEALAND,26,980,2019
25,ROTH Agustina,ARGENTINA,18,886,2019
26,LI Xinyue,PEOPLE'S REPUBLIC OF CHINA,18,864,2019
27,COFFEY Cory,UNITED STATES OF AMERICA,37,849,2019
28,BUITRAGO Nina,UNITED STATES OF AMERICA,38,780,2019
29,CHAAL Kenza,FRANCE,16,780,2019
30,AZAROVA Arina,RUSSIAN FEDERATION,17,730,2019
31,MURADOVA Jana,NETHERLANDS,21,599,2019
32,MCHENRY Jamie,UNITED STATES OF AMERICA,17,546,2019
33,HERNANDEZ Yeinkerly,BOLIVARIAN REPUBLIC OF VENEZUELA,19,500,2019
34,VARGAS Alexandra,BOLIVARIAN REPUBLIC OF VENEZUELA,22,440,2019
35,SILVA CRUZ Shanice,NETHERLANDS,27,430,2019
36,BURRELL Isobel,GREAT BRITAIN,18,400,2019
37,ASHWORTH Kayley,GREAT BRITAIN,29,400,2019
38,PEREZ Nazarena,ARGENTINA,20,374,2019
39,TEREBOVA Anastasiia,RUSSIAN FEDERATION,19,370,2019
40,LIANG Xiaolan,PEOPLE'S REPUBLIC OF CHINA,16,370,2019
41,MALYSHEVA Elena,RUSSIAN FEDERATION,20,360,2019
42,ZHENG Qian,PEOPLE'S REPUBLIC OF CHINA,16,360,2019
43,CANOVI Sara,ITALY,23,359,2019
44,VALLEJO GARCIA Maria,SPAIN,18,332,2019
45,IŽÁKOVÁ Angelika,SLOVAKIA,27,305,2019
46,SALAZAR ARAYA Melania,COSTA RICA,23,290,2019
47,CERDAS ORDEÑANA Nicole,COSTA RICA,19,270,2019
48,WANG Shuyi,PEOPLE'S REPUBLIC OF CHINA,17,270,2019
49,PŘIKRYLOVÁ Nikol,CZECH REPUBLIC,19,260,2019
50,HERNANDEZ Mariangel,BOLIVARIAN REPUBLIC OF VENEZUELA,16,260,2019
51,ADELIETI Militi,PEOPLE'S REPUBLIC OF CHINA,22,254,2019
52,BYKOVA Anna,RUSSIAN FEDERATION,18,250,2019
53,BORDIGNON Eduarda,BRAZIL,19,236,2019
54,VILLEGAS SERNA Queen,COLOMBIA,16,220,2019
55,NYCHKA Stephanie,CANADA,40,220,2019
56,WARD Valeria,GREAT BRITAIN,32,210,2019
57,NABATOVA Daria,RUSSIAN FEDERATION,23,200,2019
58,ESQUIVEL HERRERA Elsy Lucia,COSTA RICA,25,190,2019
59,DIAS ROQUE Derlayne Flávia,BRAZIL,31,182,2019
60,DARMASE Andrea,BOLIVARIAN REPUBLIC OF VENEZUELA,24,180,2019
61,FARFUTDINOVA Olga,RUSSIAN FEDERATION,22,180,2019
62,COLE Sivan,SPAIN,25,178,2019
63,DAI Yuting,PEOPLE'S REPUBLIC OF CHINA,17,175,2019
64,DINEL Sarah,CANADA,21,160,2019
64,KATONOVÁ Petra,SLOVAKIA,20,160,2019
64,FUKAO Rina,JAPAN,18,160,2019
64,ROHR Stephanie,SWITZERLAND,33,160,2019
68,ZHAO Yating,PEOPLE'S REPUBLIC OF CHINA,19,149,2019
69,SHEPPARD Peta,AUSTRALIA,32,130,2019
70,DONZALLAZ Eloïse,SWITZERLAND,19,130,2019
70,DE OLIVEIRA NOGUEIRA Debora,BRAZIL,26,130,2019
70,WILLIAMS Kierstyn,CANADA,19,130,2019
70,ESQUER RUIZ-GALAN Maria Del Mar,SPAIN,27,130,2019
74,DOBBIE Angela,AUSTRALIA,30,110,2019
75,PEREIRA FEITOSA Veronica Tainara,BRAZIL,22,110,2019
75,DAVILA LAGO Rebeca,SPAIN,20,110,2019
75,BOSSHARD Dakota,SWITZERLAND,21,110,2019
78,VILLEGAS SERNA Lizsurley,COLOMBIA,16,98,2019
79,JOUGNEAU Maeva,FRANCE,24,97,2019
80,JONES Sara,AUSTRALIA,20,90,2019
80,MORAN ATEHORTUA Daniela,COLOMBIA,23,90,2019
80,LIUBIMOVA Valeriia,RUSSIAN FEDERATION,15,90,2019
83,ANDRADE DE SOUZA Camila,BRAZIL,29,90,2019
84,JALŮVKOVÁ Kateřina,CZECH REPUBLIC,22,70,2019
85,WANG Yanhua,PEOPLE'S REPUBLIC OF CHINA,17,70,2019
86,CORBERA COLLADO Gemma,SPAIN,27,65,2019
87,KONOVALOVA Aleksandra,RUSSIAN FEDERATION,18,50,2019
87,VALENZA Carla,FRANCE,16,50,2019
87,HE Siting,PEOPLE'S REPUBLIC OF CHINA,18,50,2019
90,KLIMENKO Jeanna,RUSSIAN FEDERATION,19,50,2019
91,HUANG Liya,PEOPLE'S REPUBLIC OF CHINA,20,44,2019
92,KULIKOVA Tatiana,RUSSIAN FEDERATION,25,30,2019
93,BERAN Barbora,CZECH REPUBLIC,22,22,2019
94,VÍTKOVÁ Julie,CZECH REPUBLIC,18,17,2019
1,ROBERTS Hannah,UNITED STATES OF AMERICA,17,5370,2018
2,LESSMANN Lara Marie,GERMANY,18,5090,2018
3,MARINO Angie,UNITED STATES OF AMERICA,28,4460,2018
4,DUCARROZ Nikita,SWITZERLAND,22,4290,2018
5,OIKE Minato,JAPAN,22,3910,2018
6,FERNANDEZ-MIRANDA AZCOAGA Teresa,SPAIN,24,3370,2018
7,BENEGAS Perris,UNITED STATES OF AMERICA,23,3160,2018
8,BUITRAGO Nina,UNITED STATES OF AMERICA,37,3050,2018
9,PEREZ GRASSET Macarena,CHILE,22,2550,2018
10,WORTHINGTON Charlotte,GREAT BRITAIN,22,2530,2018
11,POSADSKIKH Elizaveta,RUSSIAN FEDERATION,24,2050,2018
12,CHEW Ellie Rayner,NEW ZEALAND,25,1780,2018
13,WOHLRAB Jennifer,GERMANY,22,1640,2018
14,SILVA CRUZ Shanice,NETHERLANDS,26,1220,2018
15,BUCHANAN Caroline,AUSTRALIA,28,1070,2018
16,ZACARIAS Analia Gabriela,ARGENTINA,29,1060,2018
17,GRUHN Rebecca,GERMANY,26,967,2018
18,FINNEGAN Emma,GREAT BRITAIN,21,890,2018
19,IBAÑEZ PEREZ Beatriz,SPAIN,23,817,2018
20,WARD Valeria,GREAT BRITAIN,31,810,2018
21,COFFEY Cory,UNITED STATES OF AMERICA,36,778,2018
22,GE Hui,PEOPLE'S REPUBLIC OF CHINA,21,700,2018
23,PARK Mini,KOREA,28,685,2018
24,KRUGLOVA Ekaterina,RUSSIAN FEDERATION,24,640,2018
25,DIAZ DARMASE Katherine Seiran,BOLIVARIAN REPUBLIC OF VENEZUELA,29,630,2018
26,BURRELL Isobel,GREAT BRITAIN,17,620,2018
27,ROTH Agustina,ARGENTINA,17,460,2018
28,GREGORY Jesse,UNITED STATES OF AMERICA,17,450,2018
29,POTTIER Magalie,FRANCE,29,430,2018
30,GRÜBER Lotta,GERMANY,18,430,2018
31,PEREZ Laury,FRANCE,15,409,2018
32,NYCHKA Stephanie,CANADA,39,310,2018
33,DINEL Sarah,CANADA,20,256,2018
34,PEREZ Nazarena,ARGENTINA,19,220,2018
35,MURADOVA Jana,NETHERLANDS,20,210,2018
36,DIAS ROQUE Derlayne Flávia,BRAZIL,30,200,2018
37,BORDIGNON Eduarda,BRAZIL,18,188,2018
38,OU Xianfen,PEOPLE'S REPUBLIC OF CHINA,18,186,2018
39,BRUCE Kara,CANADA,30,165,2018
40,WOLFE Chelsea,UNITED STATES OF AMERICA,25,160,2018
41,TANNO Kanami,JAPAN,18,160,2018
41,LI Xinyue,PEOPLE'S REPUBLIC OF CHINA,17,160,2018
43,WEI Zimei,PEOPLE'S REPUBLIC OF CHINA,17,132,2018
44,NISHIKAWA Mai,JAPAN,30,130,2018
44,FERNANDES MARGINI Natália,BRAZIL,27,130,2018
46,DAI Yuting,PEOPLE'S REPUBLIC OF CHINA,16,111,2018
47,MCHENRY Jamie,UNITED STATES OF AMERICA,16,110,2018
48,PEREIRA FEITOSA Veronica Tainara,BRAZIL,21,110,2018
49,ADELIETI Militi,PEOPLE'S REPUBLIC OF CHINA,21,94,2018
50,DE OLIVEIRA NOGUEIRA Debora,BRAZIL,25,90,2018
51,JOUGNEAU Maeva,FRANCE,23,70,2018
52,STEFFÈ Valeri,SLOVENIA,20,70,2018
53,GOMES DOS SANTOS Beatriz,BRAZIL,15,70,2018
54,YU Pengli,PEOPLE'S REPUBLIC OF CHINA,17,68,2018
55,VÍTKOVÁ Julie,CZECH REPUBLIC,17,60,2018
56,HUANG Liya,PEOPLE'S REPUBLIC OF CHINA,19,56,2018
57,ZHAO Yating,PEOPLE'S REPUBLIC OF CHINA,18,39,2018
58,CHAAL Kenza,FRANCE,15,26,2018
59,LI Shiyun,PEOPLE'S REPUBLIC OF CHINA,19,20,2018
60,WEN Meiru,PEOPLE'S REPUBLIC OF CHINA,18,10,2018
